               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11764,            0.028162,                   0,          0.00079568,            0.052632,          0.00015771,          3.1542e-05,             0.11629,            0.028974,                   0,               6e-05,               6e-05,             0.09946
                   1,             0.11416,            0.023878,                   0,           0.0027965,            0.052632,           0.0002974,           5.948e-05,             0.11335,            0.023388,                   0,             0.00013,             0.00013,             0.09883
                   2,             0.11261,            0.020274,                   0,           0.0018435,            0.052632,          0.00022355,           4.471e-05,             0.11055,            0.020649,                   0,          0.00019998,          0.00019998,              0.0982
                   3,             0.10993,            0.016889,                   0,            0.019368,            0.052632,           0.0020337,          0.00057537,             0.10813,            0.019435,                   0,          0.00026994,          0.00026994,             0.09757
                   4,             0.10063,            0.016855,                   0,           0.0027386,             0.10526,          0.00068668,          8.8689e-05,               0.104,            0.019146,                   0,          0.00033987,          0.00033987,             0.09694
                   5,            0.094387,            0.016774,                   0,           0.0055775,            0.052632,           0.0016919,          0.00056072,            0.097008,            0.020062,                   0,          0.00040975,          0.00040975,             0.09631
                   6,            0.087479,            0.017399,                   0,             0.10828,            0.052632,            0.020037,            0.002863,            0.092015,            0.020384,                   0,          0.00047957,          0.00047957,             0.09568
                   7,            0.078539,            0.018754,                   0,             0.20547,             0.15789,            0.045762,            0.010888,            0.085686,             0.02121,                   0,          0.00054934,          0.00054934,            0.095049
                   8,            0.074646,            0.018302,                   0,            0.081672,             0.10526,            0.023721,           0.0056801,            0.082345,             0.02131,                   0,          0.00061902,          0.00061902,            0.094419
                   9,            0.071239,            0.018443,                   0,            0.058658,             0.21053,            0.027384,           0.0072327,            0.080709,            0.021441,                   0,          0.00068862,          0.00068862,            0.093789
                  10,            0.069061,            0.017659,                   0,            0.097621,             0.26316,            0.078451,            0.018679,            0.075644,            0.021775,                   0,          0.00075813,          0.00075813,            0.093158
